,i,ppron,pronoun,negemo,adverb,anger,bio,cogmech,conj,sad,swear,affect,body,present,discrep,relativ,article,preps,posemo,space,time,funct,leisure,achieve,relig,social,incl,motion,we,auxverb
5f86969fe97dd82aba8a683fe7ce6460,830.0,1135.0,1697.0,241.0,623.0,67.0,286.0,1542.0,558.0,49.0,10.0,856.0,124.0,968.0,163.0,1698.0,528.0,1121.0,613.0,581.0,839.0,5584.0,231.0,151.0,26.0,796.0,375.0,244.0,57.0,899.0
5fcf46eb6809a240af3ab9bcb4f2b92f,312.0,437.0,639.0,181.0,196.0,103.0,190.0,598.0,166.0,24.0,92.0,322.0,68.0,469.0,61.0,571.0,231.0,462.0,140.0,238.0,237.0,2106.0,63.0,56.0,11.0,316.0,151.0,86.0,16.0,382.0
601f343a14622332a92b593a459de56c,280.0,1070.0,1740.0,314.0,465.0,74.0,312.0,2063.0,676.0,95.0,13.0,1105.0,67.0,1173.0,176.0,1506.0,797.0,1489.0,784.0,646.0,540.0,6523.0,100.0,205.0,124.0,1412.0,561.0,291.0,245.0,991.0
60399ca9311eb6a6253998979d429281,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
60718359aa8787957ed878cdb9cc87c0,32.0,53.0,82.0,10.0,27.0,2.0,8.0,90.0,31.0,2.0,0.0,35.0,1.0,46.0,13.0,57.0,26.0,65.0,25.0,20.0,17.0,297.0,2.0,5.0,1.0,58.0,18.0,16.0,3.0,47.0
608344463eea96ca2224516db525accc,229.0,578.0,915.0,118.0,302.0,38.0,157.0,973.0,337.0,25.0,9.0,468.0,41.0,638.0,128.0,753.0,310.0,688.0,347.0,270.0,330.0,3248.0,50.0,114.0,14.0,710.0,256.0,128.0,55.0,542.0
60b7e942ecfea09758d2b6c92be5019e,71.0,94.0,144.0,27.0,44.0,20.0,16.0,119.0,36.0,4.0,8.0,65.0,3.0,79.0,13.0,123.0,55.0,79.0,38.0,35.0,71.0,441.0,13.0,15.0,3.0,68.0,16.0,16.0,2.0,66.0
60bb7f8e09c6afac6ddf111bd09c785b,132.0,320.0,554.0,62.0,194.0,26.0,47.0,644.0,204.0,9.0,6.0,193.0,15.0,322.0,71.0,532.0,225.0,404.0,128.0,171.0,265.0,1846.0,84.0,62.0,12.0,369.0,147.0,78.0,54.0,218.0
60e3e76252eeacb2304d45836a7d8de8,131.0,216.0,305.0,72.0,108.0,26.0,68.0,265.0,123.0,14.0,9.0,154.0,22.0,141.0,28.0,192.0,81.0,156.0,81.0,81.0,91.0,900.0,22.0,11.0,5.0,195.0,71.0,16.0,4.0,113.0
61403c14fc11324a4d393cbde9f0f2e8,5.0,15.0,51.0,14.0,21.0,7.0,16.0,57.0,25.0,1.0,7.0,80.0,10.0,50.0,7.0,84.0,79.0,64.0,66.0,37.0,38.0,272.0,31.0,7.0,9.0,71.0,21.0,9.0,2.0,20.0
61cde889b596924bc8eb8c8d5aa956a8,148.0,259.0,366.0,133.0,112.0,68.0,120.0,392.0,144.0,16.0,40.0,272.0,36.0,203.0,41.0,295.0,153.0,266.0,137.0,114.0,152.0,1286.0,71.0,59.0,29.0,281.0,87.0,26.0,8.0,183.0
