,funct,article,verb,auxverb,social,family,friend,humans,affect,posemo,negemo,anx,anger,past,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,present,percept,see,hear,feel,bio,body,health,sexual,future,ingest,adverb,preps,conj,negate,pronoun,quant,number,swear,relativ,motion,space,time,ppron,work,achieve,leisure,home,money,relig,death,i,assent,nonfl,filler,we,you,shehe,they,ipron
119aad69d66906e2b748bacd5e2e79ae,595.0,47.0,157.0,92.0,143.0,8.0,2.0,13.0,75.0,46.0,29.0,4.0,9.0,18.0,6.0,174.0,25.0,17.0,19.0,30.0,23.0,8.0,39.0,35.0,101.0,19.0,9.0,4.0,6.0,24.0,4.0,12.0,8.0,21.0,1.0,54.0,132.0,71.0,17.0,166.0,31.0,13.0,1.0,139.0,20.0,54.0,64.0,109.0,28.0,11.0,23.0,7.0,2.0,4.0,6.0,35.0,6.0,0.0,3.0,3.0,22.0,43.0,6.0,57.0
11c57703829165e6f2ec4f6bc73e07ba,1177.0,148.0,330.0,181.0,204.0,18.0,3.0,40.0,156.0,100.0,56.0,6.0,22.0,65.0,8.0,311.0,34.0,30.0,19.0,53.0,25.0,10.0,109.0,45.0,230.0,42.0,20.0,10.0,10.0,88.0,33.0,23.0,9.0,13.0,31.0,109.0,312.0,132.0,46.0,288.0,56.0,6.0,12.0,346.0,51.0,163.0,125.0,201.0,66.0,29.0,50.0,17.0,32.0,0.0,5.0,143.0,44.0,4.0,6.0,15.0,10.0,12.0,21.0,87.0
11debc8e623e5e70b300287396ab263b,1524.0,170.0,382.0,212.0,344.0,11.0,20.0,46.0,298.0,193.0,103.0,12.0,57.0,55.0,17.0,493.0,54.0,45.0,72.0,100.0,58.0,18.0,107.0,120.0,276.0,56.0,28.0,14.0,12.0,83.0,37.0,20.0,34.0,23.0,6.0,163.0,283.0,187.0,43.0,482.0,56.0,16.0,41.0,379.0,53.0,137.0,177.0,322.0,46.0,51.0,45.0,15.0,9.0,20.0,15.0,151.0,47.0,3.0,20.0,21.0,114.0,15.0,21.0,160.0
11e5948169aa92b840500dfae17c70f6,131.0,10.0,48.0,23.0,19.0,2.0,0.0,0.0,20.0,13.0,7.0,1.0,4.0,14.0,1.0,31.0,3.0,0.0,4.0,4.0,6.0,4.0,4.0,6.0,30.0,6.0,2.0,1.0,3.0,9.0,2.0,5.0,2.0,2.0,0.0,22.0,22.0,12.0,3.0,42.0,4.0,1.0,0.0,29.0,5.0,4.0,19.0,30.0,9.0,0.0,4.0,4.0,1.0,0.0,0.0,21.0,2.0,0.0,1.0,0.0,4.0,2.0,3.0,12.0
12170edda5667c961a48d9715f391de2,2463.0,160.0,719.0,391.0,383.0,38.0,11.0,33.0,437.0,310.0,127.0,11.0,44.0,126.0,24.0,823.0,72.0,53.0,114.0,258.0,59.0,21.0,150.0,209.0,479.0,163.0,58.0,40.0,60.0,131.0,63.0,25.0,13.0,36.0,35.0,329.0,406.0,256.0,68.0,823.0,124.0,25.0,34.0,645.0,88.0,178.0,359.0,485.0,48.0,45.0,95.0,32.0,30.0,16.0,12.0,336.0,82.0,47.0,61.0,17.0,85.0,33.0,14.0,338.0
12291e06a9b01bc2c2cfbd7728828a5d,601.0,50.0,184.0,101.0,62.0,5.0,1.0,5.0,80.0,58.0,22.0,2.0,9.0,47.0,8.0,188.0,23.0,18.0,29.0,38.0,17.0,2.0,44.0,33.0,116.0,21.0,5.0,3.0,11.0,18.0,7.0,7.0,0.0,13.0,4.0,69.0,125.0,72.0,15.0,157.0,39.0,17.0,5.0,170.0,23.0,53.0,88.0,92.0,20.0,20.0,13.0,6.0,3.0,1.0,7.0,63.0,8.0,3.0,4.0,3.0,24.0,1.0,1.0,65.0
128f1e4b23497b3498884ba2be632ea3,160.0,12.0,36.0,20.0,19.0,1.0,1.0,1.0,25.0,23.0,2.0,0.0,0.0,10.0,1.0,51.0,8.0,6.0,7.0,10.0,4.0,4.0,10.0,8.0,18.0,5.0,3.0,1.0,1.0,6.0,4.0,1.0,0.0,4.0,1.0,17.0,56.0,15.0,2.0,28.0,9.0,5.0,0.0,60.0,6.0,21.0,33.0,17.0,4.0,7.0,11.0,4.0,4.0,3.0,0.0,12.0,2.0,1.0,1.0,0.0,1.0,4.0,0.0,11.0
12bca3ae16aabaa2ae2a33d54d0c1516,2167.0,192.0,634.0,350.0,455.0,17.0,19.0,49.0,374.0,247.0,127.0,14.0,57.0,139.0,25.0,624.0,68.0,55.0,82.0,121.0,49.0,24.0,167.0,136.0,449.0,124.0,58.0,33.0,26.0,98.0,39.0,31.0,18.0,21.0,11.0,216.0,426.0,249.0,79.0,714.0,81.0,10.0,17.0,634.0,78.0,259.0,278.0,494.0,33.0,36.0,63.0,24.0,16.0,24.0,8.0,334.0,40.0,3.0,70.0,27.0,83.0,32.0,18.0,220.0
12f02d52562fc96a32916a2f49cc1bb3,2460.0,252.0,607.0,329.0,689.0,19.0,4.0,31.0,355.0,256.0,95.0,16.0,22.0,90.0,37.0,757.0,105.0,79.0,87.0,88.0,86.0,36.0,203.0,107.0,370.0,114.0,47.0,37.0,22.0,122.0,46.0,43.0,28.0,67.0,8.0,168.0,485.0,256.0,97.0,856.0,100.0,21.0,1.0,513.0,84.0,224.0,183.0,665.0,22.0,74.0,22.0,12.0,18.0,138.0,22.0,222.0,26.0,3.0,10.0,50.0,229.0,129.0,35.0,191.0
13355c9ab119a8008c9cc67afc11888a,232.0,36.0,69.0,42.0,44.0,4.0,2.0,4.0,34.0,18.0,16.0,2.0,9.0,17.0,3.0,73.0,15.0,3.0,7.0,12.0,5.0,1.0,23.0,7.0,32.0,16.0,6.0,7.0,2.0,5.0,2.0,2.0,0.0,13.0,1.0,14.0,52.0,28.0,5.0,57.0,12.0,1.0,1.0,53.0,9.0,18.0,24.0,40.0,10.0,11.0,6.0,2.0,3.0,2.0,0.0,22.0,0.0,0.0,0.0,1.0,9.0,3.0,5.0,17.0
